Date,Component,Affiliate Name,Class Name,Result,Is Personal Record,Personal Record Description,Performance Result Type,Comment,From Weightlifting Total
02/08/2019,Hang Clean,Fitness Battalion,CrossFit: 12:00,1 x 5 @ 122 lbs,1,PR by 22 lbs vs. 100 on 12/08/2017,Weight,,0
01/30/2019,Breathing Pause Squats,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 125 lbs,0,,Weight,,0
01/28/2019,Back Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 195 lbs,1,PR by 5 lbs vs. 190 on 12/13/2017,Weight,,0
01/28/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 207 lbs,0,,Weight,,0
01/28/2019,Shoulder Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 87.5 lbs,1,PR by 0.5 lbs vs. 87 on 11/02/2018,Weight,,0
01/21/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 205 lbs,0,,Weight,conventional,0
01/11/2019,Snatch,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 80 lbs,0,,Weight,,0
12/20/2018,Floor Press,Fitness Battalion,CrossFit: 17:30,1 x 2 @ 90 lbs,0,,Weight,,0
12/13/2018,Back Squat,Fitness Battalion,CrossFit: 17:30,5 x 1 @ 175 lbs,0,,Weight,,0
11/29/2018,Clean and Jerk,Fitness Battalion,CrossFit: 17:30,10 x 6 @ 85 lbs,0,,Weight,,0
11/26/2018,Squat Clean,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 155 lbs,1,PR by 50 lbs vs. 105 on 05/04/2018,Weight,,0
11/14/2018,Shoulder Press,Fitness Battalion,CrossFit: 12:00,5 x 5 @ 77 lbs,1,,Weight,,0
11/05/2018,Box Squats,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 115 lbs,0,,Weight,,0
11/03/2018,Push Press,Fitness Battalion,CrossFit: 09:00,10 x 3 @ 95 lbs,0,,Weight,,0
11/02/2018,Shoulder Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 87 lbs,1,PR by 7 lbs vs. 80 on 10/30/2018,Weight,,0
11/02/2018,Push Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 127 lbs,1,PR by 22 lbs vs. 105 on 10/03/2018,Weight,,0
11/01/2018,Complex: 1pwr snatch 1 sqt snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 97 lbs,1,PR by 2 lbs vs. 95 on 06/28/2018,Weight,,0
10/30/2018,Shoulder Press,Fitness Battalion,CrossFit: 17:30,8 x 2 @ 80 lbs,1,PR by 2.5 lbs vs. 77.5 on 06/26/2018,Weight,,0
10/19/2018,Clean Complex 2,Fitness Battalion,CrossFit: 17:30,5 x 3 @ 100 lbs,0,,Weight,,0
10/17/2018,Single Arm Dumbell Press,Fitness Battalion,CrossFit: 12:00,3 x 5 @ 25 lbs,0,,Weight,,0
10/10/2018,Front Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 160 lbs,1,PR by 5 lbs vs. 155 on 11/01/2017,Weight,,0
10/04/2018,Snatch OHS Complex,Fitness Battalion,CrossFit: 17:30,2 x 1 @ 75 lbs,0,,Weight,,0
10/03/2018,Push Press,Fitness Battalion,CrossFit: 12:00,3 x 7 @ 105 lbs,1,PR by 5 lbs vs. 100 on 02/10/2018,Weight,,0
10/02/2018,Shoulder Press,Fitness Battalion,CrossFit: 12:00,5 x 5 @ 75 lbs,1,,Weight,,0
09/17/2018,Dead Half 2-2-2,Fitness Battalion,CrossFit: 12:00,5 x 1 @ 135 lbs,0,,Weight,,0
09/07/2018,Hang Power Snatch,Fitness Battalion,CrossFit: 12:00,1 x 5 @ 85 lbs,1,PR by 7.5 lbs vs. 77.5 on 06/27/2018,Weight,,0
08/29/2018,Seated Press,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 20 lbs,0,,Weight,,0
08/28/2018,1 RPM Floor Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 95 lbs,0,,Weight,,0
06/28/2018,Complex: 1pwr snatch 1 sqt snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 95 lbs,0,,Weight,,0
06/27/2018,Hang Power Snatch,Fitness Battalion,CrossFit: 17:30,1 x 3 @ 77.5 lbs,0,,Weight,,0
06/26/2018,Shoulder Press,Fitness Battalion,CrossFit: 17:30,8 x 2 @ 77.5 lbs,1,PR by 4.5 lbs vs. 73 on 06/05/2018,Weight,,0
06/20/2018,Back Squat,Fitness Battalion,CrossFit: 17:30,1 x 3 @ 190 lbs,1,PR by 2 reps vs. 1 on 12/13/2017,Weight,,0
06/19/2018,1 RPM Floor Press,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 100 lbs,1,PR by 5 lbs vs. 95 on 01/08/2018,Weight,,0
06/16/2018,Power Snatch,Fitness Battalion,CrossFit: 10:00,10 x 3 @ 75 lbs,0,,Weight,,0
